# property,competitor,domain,sitemap_url
# Vantage Circle competitors
vantagecircle,Vantage Circle,vantagecircle.com,https://www.vantagecircle.com/sitemap.xml
vantagecircle,Achievers,achievers.com,https://www.achievers.com/sitemap.xml
vantagecircle,O.C. Tanner,octanner.com,https://www.octanner.com/sitemap.xml
vantagecircle,Workhuman,workhuman.com,https://www.workhuman.com/sitemap.xml
vantagecircle,Awardco,awardco.com,https://www.awardco.com/sitemap.xml
vantagecircle,Advantage Club,advantageclub.ai,https://www.advantageclub.ai/sitemap.xml
vantagecircle,Bonusly,bonusly.com,https://www.bonusly.com/sitemap.xml
# Vantage Fit competitors
vantagefit,Vantage Fit,vantagefit.io,https://www.vantagefit.io/sitemap.xml
vantagefit,Wellable,wellable.com,https://www.wellable.com/sitemap.xml
vantagefit,Virgin Pulse,virginpulse.com,https://www.virginpulse.com/sitemap.xml
vantagefit,ComPsych,compsych.com,https://www.compsych.com/sitemap.xml
vantagefit,LifeWorks,lifeworks.com,https://www.lifeworks.com/sitemap.xml
